State,Admitted
Delaware,1787-12-07 00:00:00
Pennsylvania,1787-12-12 00:00:00
New Jersey,1787-12-18 00:00:00
Georgia,1788-01-02 00:00:00
Connecticut,1788-01-09 00:00:00
Massachusetts,1788-02-06 00:00:00
Maryland,1788-04-28 00:00:00
South Carolina,1788-05-23 00:00:00
New Hampshire,1788-06-21 00:00:00
Virginia,1788-06-25 00:00:00
New York,1788-07-26 00:00:00
North Carolina,1789-11-21 00:00:00
Rhode Island,1790-05-29 00:00:00
Vermont,1791-03-04 00:00:00
Kentucky,1792-06-01 00:00:00
Tennessee,1796-06-01 00:00:00
"Washington, DC",1800-01-01 00:00:00
Ohio,1803-03-01 00:00:00
Louisiana,1812-04-30 00:00:00
Indiana,1816-12-11 00:00:00
Mississippi,1817-12-10 00:00:00
Illinois,1818-12-03 00:00:00
Alabama,1819-12-19 00:00:00
Maine,1820-03-15 00:00:00
Missouri,1821-08-10 00:00:00
Arkansas,1836-06-15 00:00:00
Michigan,1837-01-26 00:00:00
Florida,1845-03-03 00:00:00
Texas,1845-12-29 00:00:00
Iowa,1846-12-28 00:00:00
Wisconsin,1848-05-29 00:00:00
California,1850-09-09 00:00:00
Minnesota,1858-05-11 00:00:00
Oregon,1859-02-14 00:00:00
Kansas,1861-01-29 00:00:00
West Virginia,1863-06-20 00:00:00
Nevada,1864-10-31 00:00:00
Nebraska,1867-03-01 00:00:00
Colorado,1876-08-01 00:00:00
North Dakota,1889-11-02 00:00:00
South Dakota,1889-11-02 00:00:00
Montana,1889-11-08 00:00:00
Washington,1889-11-11 00:00:00
Idaho,1890-07-03 00:00:00
Wyoming,1890-07-10 00:00:00
Utah,1896-01-04 00:00:00
Puerto Rico,1898-01-01 00:00:00
Oklahoma,1907-11-16 00:00:00
New Mexico,1912-01-26 00:00:00
Arizona,1912-02-14 00:00:00
Alaska,1959-01-03 00:00:00
Hawaii,1959-08-21 00:00:00
